damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG,HFC134a,3%,2027,108307
MimiIWG,HFC134a,3%,2028,111302
MimiIWG,HFC134a,3%,2029,114297
MimiIWG,HFC134a,3%,2030,117293
MimiIWG,HFC134a,3%,2031,120862
MimiIWG,HFC134a,3%,2032,124431
MimiIWG,HFC134a,3%,2033,128000
MimiIWG,HFC134a,3%,2034,131568
MimiIWG,HFC134a,3%,2035,135137
MimiIWG,HFC134a,3%,2036,138706
MimiIWG,HFC134a,3%,2037,142275
MimiIWG,HFC134a,3%,2038,145844
MimiIWG,HFC134a,3%,2039,149413
MimiIWG,HFC134a,3%,2040,152982
MimiIWG,HFC134a,3%,2041,156697
MimiIWG,HFC134a,3%,2042,160412
MimiIWG,HFC134a,3%,2043,164126
MimiIWG,HFC134a,3%,2044,167841
MimiIWG,HFC134a,3%,2045,171555
MimiIWG,HFC134a,3%,2046,175270
MimiIWG,HFC134a,3%,2047,178985
MimiIWG,HFC134a,3%,2048,182699
MimiIWG,HFC134a,3%,2049,186414
MimiIWG,HFC134a,3%,2050,190129
MimiIWG,HFC134a,3%,2051,192547
MimiIWG,HFC134a,3%,2052,194966
MimiIWG,HFC134a,3%,2053,197385
MimiIWG,HFC134a,3%,2054,199803
MimiIWG,HFC134a,3%,2055,202222
MimiIWG,HFC134a,3%,2056,204641
MimiIWG,HFC134a,3%,2057,207059
MimiIWG,HFC134a,3%,2058,209478
MimiIWG,HFC134a,3%,2059,211897
MimiIWG,HFC134a,3%,2060,214315
MimiIWG,HFC134a,3%,2061,223480
MimiIWG,HFC134a,3%,2062,232645
MimiIWG,HFC134a,3%,2063,241810
MimiIWG,HFC134a,3%,2064,250975
MimiIWG,HFC134a,3%,2065,260140
MimiIWG,HFC134a,3%,2066,269305
MimiIWG,HFC134a,3%,2067,278470
MimiIWG,HFC134a,3%,2068,287635
MimiIWG,HFC134a,3%,2069,296800
MimiIWG,HFC134a,3%,2070,305965
MimiIWG,HFC134a,3%,2071,315478
