damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG_FAIRv162,HFC227ea,3%,2063,363189
MimiIWG_FAIRv162,HFC227ea,3%,2064,371348
MimiIWG_FAIRv162,HFC227ea,3%,2065,379508
MimiIWG_FAIRv162,HFC227ea,3%,2066,387667
MimiIWG_FAIRv162,HFC227ea,3%,2067,395827
MimiIWG_FAIRv162,HFC227ea,3%,2068,403986
MimiIWG_FAIRv162,HFC227ea,3%,2069,412146
MimiIWG_FAIRv162,HFC227ea,3%,2070,420305
MimiIWG_FAIRv162,HFC227ea,3%,2071,428946
MimiIWG_FAIRv162,HFC227ea,3%,2072,437587
MimiIWG_FAIRv162,HFC227ea,3%,2073,446228
MimiIWG_FAIRv162,HFC227ea,3%,2074,454870
MimiIWG_FAIRv162,HFC227ea,3%,2075,463511
MimiIWG_FAIRv162,HFC227ea,3%,2076,472152
MimiIWG_FAIRv162,HFC227ea,3%,2077,480793
MimiIWG_FAIRv162,HFC227ea,3%,2078,489434
MimiIWG_FAIRv162,HFC227ea,3%,2079,498075
MimiIWG_FAIRv162,HFC227ea,3%,2080,506717
MimiIWG_FAIRv162,HFC227ea,3%,2081,513409
MimiIWG_FAIRv162,HFC227ea,3%,2082,520102
MimiIWG_FAIRv162,HFC227ea,3%,2083,526794
MimiIWG_FAIRv162,HFC227ea,3%,2084,533487
MimiIWG_FAIRv162,HFC227ea,3%,2085,540179
MimiIWG_FAIRv162,HFC227ea,3%,2086,546872
MimiIWG_FAIRv162,HFC227ea,3%,2087,553564
MimiIWG_FAIRv162,HFC227ea,3%,2088,560257
MimiIWG_FAIRv162,HFC227ea,3%,2089,566949
MimiIWG_FAIRv162,HFC227ea,3%,2090,573642
MimiIWG_FAIRv162,HFC227ea,3%,2091,581094
MimiIWG_FAIRv162,HFC227ea,3%,2092,588546
MimiIWG_FAIRv162,HFC227ea,3%,2093,595998
MimiIWG_FAIRv162,HFC227ea,3%,2094,603450
MimiIWG_FAIRv162,HFC227ea,3%,2095,610902
MimiIWG_FAIRv162,HFC227ea,3%,2096,618355
MimiIWG_FAIRv162,HFC227ea,3%,2097,625807
MimiIWG_FAIRv162,HFC227ea,3%,2098,633259
MimiIWG_FAIRv162,HFC227ea,3%,2099,640711
MimiIWG_FAIRv162,HFC227ea,3%,2100,648163
MimiIWG_FAIRv162,HFC23,3%,2020,517616
